ID,Easting,Northing,Latitude(DDD.DDDDD),Longitude(DDD.DDDDD)
992147-991051,823135.6781,834129.0254,22.446544868,114.049296692
992148-992149,823149.6202,834091.534,22.446206411,114.049432445
992149-992150,823647.792,833453.1641,22.4404454,114.054277122
992150-991052,823663.0466,833440.23,22.440328712,114.054425413
992151-992152,823693.8437,833414.7083,22.440098466,114.054724788
992152-992153,824237.745,832955.5954,22.435956383,114.060011892
992153-991053,824251.1477,832940.7513,22.435822428,114.060142198
992154-992155,824264.1649,832925.5673,22.435685401,114.060268762
992155-992156,824679.2237,831558.9361,22.423346961,114.064310599
992156-991054,824679.3904,831538.9385,22.423166375,114.064312363
992157-992158,824679.2074,831518.9393,22.422985771,114.064310731
992158-992159,824486.8414,830441.658,22.413256107,114.062450222
992159-991055,824477.5608,830423.9415,22.413096055,114.062360216
992160-993022,824467.8497,830406.4575,22.412938099,114.062266027
992161-992162,825161.5023,826142.8711,22.374440437,114.069032767
992162-991056,825177.4052,826130.7426,22.374331013,114.069187264
992163-993024,825193.276,826118.5723,22.374221212,114.06934145
992164-992165,823004.7494,834417.2961,22.449147065,114.048022345
992165-991057,822987.6478,834406.9401,22.449053414,114.047856291
992166-992167,822950.9647,834391.1871,22.448910872,114.047500048
992167-992168,822196.8346,834147.5226,22.446704441,114.040175883
992168-991058,822186.2266,834130.584,22.446551391,114.040072979
992169-992170,822168.4672,834094.7564,22.446227706,114.039900768
992170-992171,821762.1539,833006.7741,22.43639936,114.03596346
992171-991059,821747.3574,832993.3182,22.436277722,114.035819849
992172-992173,821732.5605,832979.8626,22.436156087,114.035676234
992173-992174,820946.0188,832769.3458,22.434248169,114.028037766
992174-991060,820926.3911,832773.1865,22.434282676,114.027847067
992175-992176,820887.0664,832780.5028,22.434348393,114.027465
992176-992177,819794.9057,833075.5778,22.437002885,114.016852798
